team,Group,R32,R16,QF,SF,Final,Winner
Argentina,1.0,0.99409,0.67809,0.54314,0.40714,0.2873,0.19699
Spain,1.0,0.99637,0.65427,0.44924,0.33835,0.22886,0.13721
England,1.0,0.98691,0.65103,0.42339,0.25713,0.14056,0.07796
Germany,1.0,0.9941,0.7176,0.43903,0.27385,0.14238,0.07266
Colombia,1.0,0.91198,0.62267,0.38714,0.20817,0.11616,0.0605
France,1.0,0.95796,0.61745,0.35959,0.20802,0.10829,0.05433
Netherlands,1.0,0.92144,0.57561,0.37787,0.20694,0.10414,0.05017
Portugal,1.0,0.89805,0.59683,0.36088,0.19012,0.10257,0.04905
Brazil,1.0,0.98404,0.59113,0.3458,0.19464,0.09448,0.04672
Ecuador,1.0,0.96432,0.57788,0.31553,0.17307,0.08222,0.03959
Uruguay,1.0,0.93511,0.39852,0.23148,0.12481,0.0604,0.02769
Japan,1.0,0.82083,0.44,0.23955,0.11333,0.04897,0.0207
Norway,1.0,0.92471,0.52156,0.25784,0.11947,0.04788,0.01878
Croatia,1.0,0.93407,0.46814,0.21732,0.10824,0.04672,0.01871
Austria,1.0,0.88401,0.37077,0.19761,0.10092,0.04773,0.01824
Belgium,1.0,0.89059,0.51608,0.2414,0.09199,0.03996,0.01403
Senegal,1.0,0.81114,0.41152,0.19576,0.08431,0.0342,0.0132
Mexico,1.0,0.89613,0.50787,0.21804,0.0888,0.03165,0.01124
Morocco,1.0,0.88425,0.38897,0.18847,0.08218,0.03046,0.01104
Paraguay,1.0,0.73976,0.38821,0.16318,0.06086,0.02439,0.00862
Switzerland,1.0,0.96367,0.5312,0.21093,0.0729,0.02541,0.00813
Canada,1.0,0.9572,0.51372,0.19822,0.06675,0.02308,0.00705
Czech Republic,1.0,0.85793,0.4518,0.17833,0.06519,0.02155,0.00651
Turkey,1.0,0.74788,0.39366,0.16174,0.05527,0.02058,0.00637
Egypt,1.0,0.7479,0.35204,0.12112,0.03749,0.01232,0.00376
DR Congo,1.0,0.50923,0.20292,0.0784,0.02979,0.01041,0.00363
United States,1.0,0.66371,0.31783,0.1176,0.03644,0.01264,0.00363
Australia,1.0,0.60694,0.26894,0.0957,0.02846,0.0094,0.00257
Scotland,1.0,0.73053,0.24139,0.0882,0.02798,0.0075,0.0019
Sweden,1.0,0.53722,0.21011,0.0807,0.02505,0.00717,0.00188
Algeria,1.0,0.60446,0.20346,0.08085,0.02214,0.00659,0.00172
Ivory Coast,1.0,0.70675,0.24668,0.08161,0.02174,0.00568,0.0015
Iran,1.0,0.70412,0.30079,0.08886,0.02142,0.00593,0.00133
Tunisia,1.0,0.39426,0.14275,0.05037,0.01499,0.00399,0.00113
Uzbekistan,1.0,0.30728,0.0937,0.02857,0.00817,0.00205,0.0005
South Korea,1.0,0.53205,0.18376,0.04993,0.01146,0.00253,0.00039
South Africa,1.0,0.43612,0.13623,0.0337,0.00675,0.00137,0.00023
New Zealand,1.0,0.37412,0.11093,0.02197,0.00404,0.00091,0.00021
Bosnia and Herzegovina,1.0,0.47912,0.11283,0.02328,0.00376,0.00051,5e-05
Saudi Arabia,1.0,0.25886,0.04595,0.0099,0.0014,0.00028,2e-05
Jordan,1.0,0.1518,0.03185,0.0075,0.00105,0.00016,2e-05
Panama,1.0,0.30758,0.04834,0.01015,0.00171,0.00017,2e-05
Ghana,1.0,0.34943,0.05629,0.01238,0.00188,0.00024,2e-05
Haiti,1.0,0.12423,0.01492,0.00203,0.00017,1e-05,0.0
Curaçao,1.0,0.04338,0.00328,0.00037,2e-05,0.0,0.0
Cape Verde,1.0,0.2525,0.04439,0.00951,0.00126,0.00019,0.0
Iraq,1.0,0.08102,0.01405,0.00218,0.00014,1e-05,0.0
Qatar,1.0,0.24085,0.03199,0.00364,0.00024,0.0,0.0
