team,Group,R32,R16,QF,SF,Final,Winner,top2
Argentina,1.0,0.9922,0.7266,0.61242,0.4793,0.33216,0.21644,0.96234
Spain,1.0,0.99618,0.75472,0.55832,0.4582,0.32612,0.19574,0.98028
England,1.0,0.98296,0.73134,0.5106,0.32148,0.17544,0.09826,0.93912
France,1.0,0.98052,0.74474,0.48068,0.31574,0.16514,0.0857,0.91646
Brazil,1.0,0.98368,0.66268,0.44826,0.2676,0.13968,0.07578,0.93042
Germany,1.0,0.9884,0.74238,0.40614,0.24118,0.1134,0.05352,0.91428
Portugal,1.0,0.9311,0.65114,0.39866,0.2079,0.10884,0.05174,0.82884
Netherlands,1.0,0.9592,0.596,0.4167,0.22464,0.10664,0.04898,0.88218
Colombia,1.0,0.90874,0.58268,0.32968,0.15528,0.07512,0.03232,0.79306
Ecuador,1.0,0.9414,0.56352,0.27148,0.13468,0.05468,0.02066,0.78204
Uruguay,1.0,0.94206,0.35624,0.21566,0.11524,0.05294,0.01984,0.8571
Japan,1.0,0.87838,0.44604,0.25556,0.11282,0.0444,0.01602,0.73816
Croatia,1.0,0.8908,0.46382,0.21164,0.09746,0.03768,0.01224,0.75572
Belgium,1.0,0.90034,0.56746,0.27972,0.09308,0.03698,0.01172,0.77356
Morocco,1.0,0.87958,0.37528,0.1974,0.07958,0.02792,0.00902,0.67994
Norway,1.0,0.84722,0.4461,0.18984,0.0713,0.02176,0.00668,0.6069
Austria,1.0,0.79996,0.27488,0.1408,0.05704,0.02178,0.00572,0.58008
Mexico,1.0,0.89912,0.49686,0.19166,0.0682,0.02096,0.00572,0.75492
Switzerland,1.0,0.96808,0.54756,0.20496,0.06066,0.01986,0.00522,0.89302
Senegal,1.0,0.7378,0.35854,0.14732,0.04952,0.01636,0.00476,0.41286
Turkey,1.0,0.8083,0.43446,0.17504,0.05184,0.01728,0.0046,0.6434
Canada,1.0,0.95702,0.52188,0.18654,0.05432,0.0162,0.004,0.86784
Paraguay,1.0,0.72526,0.36068,0.13014,0.03858,0.01226,0.00324,0.52396
United States,1.0,0.67886,0.31998,0.11312,0.03226,0.00898,0.00194,0.48408
Iran,1.0,0.72018,0.33034,0.09754,0.02322,0.0065,0.00146,0.51022
Algeria,1.0,0.66422,0.20488,0.08376,0.0225,0.0064,0.00146,0.38348
Egypt,1.0,0.71824,0.32284,0.09658,0.02314,0.0056,0.00134,0.50438
Czech Republic,1.0,0.7792,0.34826,0.11514,0.02828,0.00632,0.0012,0.5768
Sweden,1.0,0.4581,0.16552,0.06146,0.0152,0.00364,0.0009,0.2271
Australia,1.0,0.54878,0.21208,0.06228,0.01424,0.0032,0.00072,0.34856
Ivory Coast,1.0,0.73414,0.2798,0.07996,0.01784,0.00366,0.0007,0.28552
Scotland,1.0,0.63852,0.17438,0.0578,0.01442,0.00276,0.00068,0.31996
South Korea,1.0,0.71256,0.29534,0.07706,0.01758,0.00354,0.00066,0.48652
DR Congo,1.0,0.43698,0.12496,0.03806,0.00962,0.00202,0.0004,0.19092
Tunisia,1.0,0.36314,0.10792,0.03094,0.00674,0.00122,0.00022,0.15256
Uzbekistan,1.0,0.3868,0.1036,0.02692,0.00664,0.00104,0.00022,0.18718
South Africa,1.0,0.35744,0.09206,0.01528,0.00216,0.0002,6e-05,0.18176
Panama,1.0,0.3499,0.05398,0.01094,0.0014,0.00024,6e-05,0.15066
New Zealand,1.0,0.39222,0.10708,0.01732,0.00242,0.00042,4e-05,0.21184
Ghana,1.0,0.37164,0.07002,0.01466,0.00218,0.00032,2e-05,0.1545
Cape Verde,1.0,0.2593,0.04056,0.00708,0.0008,2e-05,0.0,0.07798
Haiti,1.0,0.17374,0.0226,0.00344,0.00042,0.0,0.0,0.06968
Saudi Arabia,1.0,0.27412,0.04498,0.00802,0.001,6e-05,0.0,0.08464
Qatar,1.0,0.24958,0.0319,0.00332,0.00032,2e-05,0.0,0.0837
Bosnia and Herzegovina,1.0,0.44048,0.08046,0.01022,0.00096,0.0001,0.0,0.15544
Iraq,1.0,0.15518,0.0255,0.0034,0.00038,6e-05,0.0,0.06378
Curaçao,1.0,0.06408,0.00596,0.0005,6e-05,0.0,0.0,0.01816
Jordan,1.0,0.1743,0.0294,0.00598,0.00058,8e-05,0.0,0.0741
