group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,0.7104561066825109,0.21179532987655134,0.07500905777934545,0.0027395056615923657,6.710192109403758,3.5613220864922375,5.332900793622637
A,South Korea,0.1659429129357788,0.45675667221299915,0.29616022833626765,0.08114018651495446,4.61223451690805,0.4644961782265784,3.943009873651043
A,Czech Republic,0.11989799517096085,0.284314123295001,0.39948603951821965,0.19630184201581855,3.9380458154719724,-0.37031779316109587,3.812640751497442
A,South Africa,0.0037029852107495565,0.04713387461544864,0.22934467436616732,0.7198184658076344,1.5030473033172562,-3.655500471557721,1.614577554308545
B,Switzerland,0.6703299200024732,0.2552192096610843,0.06782053843704705,0.006630331899395554,6.70131952733787,4.798211653821459,6.971179424796083
B,Canada,0.27168943031499126,0.5334717912986474,0.16910731758943207,0.02573146079692962,5.552266521439978,2.5332488120801386,4.947320655149101
B,Bosnia and Herzegovina,0.05468127495107648,0.18613974116023566,0.6131543021294907,0.14602468175919756,3.4395277467058096,-1.095100570672669,3.2405557585069684
B,Qatar,0.003299374731459048,0.025169257880033134,0.14991784184403062,0.8216135255444778,1.1322735463419134,-6.2363598952289285,1.676058325499192
C,Brazil,0.6463007956148363,0.2573154569527382,0.08277562547336667,0.013608121959058837,6.48738550429326,4.127107176154567,6.826467964983991
C,Morocco,0.274524895462791,0.5069742594256826,0.18770562829173243,0.030795216819793973,5.511835825388277,2.128771069292319,4.231310924397229
C,Scotland,0.07358223489024507,0.2087466795057112,0.603942295669922,0.11372878993412172,3.6329159868860894,-0.5595106504419506,3.9418277095588254
C,Haiti,0.005592074032127621,0.026963604115868067,0.12557645056497876,0.8418678712870258,1.1067274828576963,-5.696367595004932,2.025303759223169
D,Turkey,0.5212310295620171,0.2549546512867187,0.13618494182895974,0.0876293773223045,5.517460484919736,1.7761058315176967,4.972135425050452
D,Paraguay,0.23726906368391787,0.33540533957846586,0.25749901582059986,0.16982658091701638,4.307554376780198,0.33757154683327817,3.6210502801717173
D,United States,0.15622498845339727,0.20799878561740845,0.28241912095117905,0.35335710497801576,3.6606394685238866,-0.8039004543449046,4.0550733953086375
D,Australia,0.08527491830066772,0.20164122351740704,0.3238969213992617,0.3891869367826635,2.914646241019981,-1.3097769240060668,2.7983991336788154
E,Germany,0.5715896943184966,0.27166175338358467,0.14106471556294906,0.01568383673496988,6.112428059937009,4.1220263180820815,6.276535600712942
E,Ecuador,0.3034886976553817,0.4592472123571725,0.22049747984169088,0.016766610145754753,5.572903719712809,2.325292041209305,4.0237071784179195
E,Ivory Coast,0.1227062520971802,0.2570173279912157,0.56076365471538,0.059512765196224345,4.300213345661221,0.6021394552640998,3.41385786592027
E,Curaçao,0.0022153559289415105,0.012073706268027154,0.07767414987998021,0.908036787923051,0.7767735382413524,-7.049457814555483,1.2480732746804157
F,Netherlands,0.5658730222394592,0.3243860995791253,0.08822275065142028,0.02151812752999573,6.169497953996427,3.133610208345319,5.752010797873059
F,Japan,0.3747787647585244,0.47450899099080807,0.12029864212744835,0.0304136021232195,5.798535459763416,2.500537382059869,4.468658532774153
F,Sweden,0.04342951785982397,0.13606212139120943,0.43114000776637496,0.3893683529825918,2.813412808217398,-2.2161325505916722,3.4385631103690804
F,Tunisia,0.01591869514219273,0.06504278803885769,0.36033859945475655,0.558699917364193,1.8474107852704345,-3.4180150398135183,2.063489543609122
G,Belgium,0.7035829067206776,0.20466066275342557,0.07578413777271142,0.015972292753185964,6.562803917832369,3.6837770764806095,5.726957086148449
G,Iran,0.16168717282531145,0.42602055439652614,0.31789267516141684,0.09439959761674578,4.4275341048324535,0.45394418771694406,3.619006500467959
G,Egypt,0.12411829907496094,0.3204398221478296,0.4390634685423617,0.11637841023484817,4.100757216830527,-0.1023495539665911,2.7637109557526016
G,New Zealand,0.01061162137905053,0.04887896070221917,0.16725971852351024,0.7732496993952203,1.4861716901835813,-4.0353717102309625,1.49342022766622
H,Spain,0.8497883711768642,0.137208572044275,0.011763523891551613,0.0012395328873085075,7.690679066041909,5.930035661217469,7.4125527549333
H,Uruguay,0.14064369594439402,0.7423218399699781,0.09710106847975017,0.019933395605877265,5.502928051524808,1.636831521764067,3.9070562996330445
H,Saudi Arabia,0.0055935066507777475,0.06863296553311303,0.5607550055520332,0.3650185222640759,2.0350285891640145,-3.2795893848894484,1.9960106013440426
H,Cape Verde,0.003974426227963577,0.05183662245263323,0.3303804020766648,0.6138085492427385,1.7539170675079314,-4.287277798092085,1.8747407825532976
I,France,0.5434560176397945,0.3095995788278719,0.12186451907697467,0.025079884455359074,6.033029816909986,2.6301932426614525,5.290785947942236
I,Norway,0.3405491477556526,0.42401326789259325,0.19817115242343442,0.037266431928320236,5.436676347551829,1.9257609079072455,4.836557347518379
I,Senegal,0.10759867259887401,0.23359078166049405,0.5403070150763678,0.11850353066426429,3.945907734233571,-0.29099705995133424,3.556830891580816
I,Iraq,0.008396162005679083,0.032796371619041025,0.13965731342322346,0.8191501529520561,1.2643444666248846,-4.264957090617368,1.4228581386345902
J,Argentina,0.7849390528139005,0.1546632016356913,0.05233300782923873,0.008064737721169564,7.094616858849567,4.079263602945967,5.164316554303178
J,Algeria,0.11460500486053583,0.456217976384486,0.335620491379441,0.09355652737553749,4.254973667012912,0.6229351321948677,3.507860789854262
J,Austria,0.09210208032910946,0.3442437255853082,0.4567801065173286,0.10687408756825477,4.075478353924405,0.29090415390192637,3.20222952778876
J,Jordan,0.008353861996454227,0.044875096394514896,0.15526639427399264,0.791504647335039,1.3467686386349949,-4.993102889042763,1.7941012089577244
K,Portugal,0.531980601458917,0.3770864591580255,0.07058502086429128,0.020347918518766207,6.347915841567078,2.783655209432614,4.8604439569371625
K,Colombia,0.42024996085194,0.4175397969331207,0.12366993506835935,0.03854030714657981,5.6309268331392,1.9180546034374324,4.503189998480631
K,DR Congo,0.030297178551757172,0.12765285134246737,0.5186083965506072,0.323441573555168,2.5762654385821615,-1.7377891271111359,1.686231664981037
K,Uzbekistan,0.017472259137385603,0.0777208925663866,0.28713664751674184,0.6176702007794863,2.003554649172684,-2.9639206857589095,1.6616807330498082
L,England,0.8082667460269395,0.15717910425361928,0.02935280648635539,0.00520134323308567,7.226034388501588,4.415759234280661,5.779454385009459
L,Croatia,0.1593423972837294,0.6285887506299283,0.1590945825760617,0.05297426951028026,5.0260155426248145,1.579990869204508,4.573303789765427
L,Panama,0.01751921180589758,0.10208124788925214,0.32484748872781716,0.5555520515770331,2.2158062470708684,-3.2874323438637987,2.43816519936702
L,Ghana,0.014871644883433201,0.11215089722720012,0.48670512220976553,0.38627233567960073,2.2457320104093292,-2.70831775962137,2.28122898963516
