stage,group,home_team,away_team,p_home,p_draw,p_away,rank,score,prob
group,A,Mexico,South Korea,0.5776,0.2773,0.1451,1,1-0,0.1356
group,A,Mexico,South Korea,0.5776,0.2773,0.1451,2,1-1,0.1288
group,A,Mexico,South Korea,0.5776,0.2773,0.1451,3,2-0,0.1263
group,A,Mexico,South Korea,0.5776,0.2773,0.1451,4,0-0,0.1102
group,A,Mexico,South Korea,0.5776,0.2773,0.1451,5,2-1,0.0919
group,A,Mexico,South Africa,0.7213,0.2082,0.0706,1,2-0,0.1644
group,A,Mexico,South Africa,0.7213,0.2082,0.0706,2,1-0,0.1533
group,A,Mexico,South Africa,0.7213,0.2082,0.0706,3,3-0,0.1098
group,A,Mexico,South Africa,0.7213,0.2082,0.0706,4,0-0,0.0927
group,A,Mexico,South Africa,0.7213,0.2082,0.0706,5,1-1,0.0926
group,A,Mexico,Czech Republic,0.6219,0.2449,0.1332,1,2-0,0.1201
group,A,Mexico,Czech Republic,0.6219,0.2449,0.1332,2,1-1,0.1172
group,A,Mexico,Czech Republic,0.6219,0.2449,0.1332,3,1-0,0.1074
group,A,Mexico,Czech Republic,0.6219,0.2449,0.1332,4,2-1,0.0975
group,A,Mexico,Czech Republic,0.6219,0.2449,0.1332,5,0-0,0.0805
group,A,South Korea,South Africa,0.4993,0.3064,0.1943,1,1-1,0.1408
group,A,South Korea,South Africa,0.4993,0.3064,0.1943,2,1-0,0.1365
group,A,South Korea,South Africa,0.4993,0.3064,0.1943,3,0-0,0.1257
group,A,South Korea,South Africa,0.4993,0.3064,0.1943,4,2-0,0.1094
group,A,South Korea,South Africa,0.4993,0.3064,0.1943,5,2-1,0.0877
group,A,South Korea,Czech Republic,0.3667,0.2982,0.335,1,1-1,0.1426
group,A,South Korea,Czech Republic,0.3667,0.2982,0.335,2,0-0,0.0881
group,A,South Korea,Czech Republic,0.3667,0.2982,0.335,3,2-1,0.0845
group,A,South Korea,Czech Republic,0.3667,0.2982,0.335,4,1-2,0.0803
group,A,South Korea,Czech Republic,0.3667,0.2982,0.335,5,1-0,0.0747
group,A,South Africa,Czech Republic,0.208,0.2838,0.5082,1,1-1,0.1353
group,A,South Africa,Czech Republic,0.208,0.2838,0.5082,2,0-1,0.1107
group,A,South Africa,Czech Republic,0.208,0.2838,0.5082,3,0-2,0.1004
group,A,South Africa,Czech Republic,0.208,0.2838,0.5082,4,0-0,0.0959
group,A,South Africa,Czech Republic,0.208,0.2838,0.5082,5,1-2,0.0945
group,B,Canada,Switzerland,0.2872,0.3201,0.3927,1,1-1,0.1495
group,B,Canada,Switzerland,0.2872,0.3201,0.3927,2,0-0,0.1231
group,B,Canada,Switzerland,0.2872,0.3201,0.3927,3,0-1,0.1128
group,B,Canada,Switzerland,0.2872,0.3201,0.3927,4,1-0,0.0904
group,B,Canada,Switzerland,0.2872,0.3201,0.3927,5,1-2,0.0813
group,B,Canada,Qatar,0.8508,0.1202,0.0289,1,2-0,0.1638
group,B,Canada,Qatar,0.8508,0.1202,0.0289,2,3-0,0.1479
group,B,Canada,Qatar,0.8508,0.1202,0.0289,3,1-0,0.1146
group,B,Canada,Qatar,0.8508,0.1202,0.0289,4,4-0,0.1002
group,B,Canada,Qatar,0.8508,0.1202,0.0289,5,2-1,0.0655
group,B,Canada,Bosnia and Herzegovina,0.5668,0.2986,0.1346,1,1-0,0.1667
group,B,Canada,Bosnia and Herzegovina,0.5668,0.2986,0.1346,2,0-0,0.1421
group,B,Canada,Bosnia and Herzegovina,0.5668,0.2986,0.1346,3,2-0,0.1358
group,B,Canada,Bosnia and Herzegovina,0.5668,0.2986,0.1346,4,1-1,0.1289
group,B,Canada,Bosnia and Herzegovina,0.5668,0.2986,0.1346,5,2-1,0.0823
group,B,Switzerland,Qatar,0.9297,0.0558,0.0145,1,3-0,0.1269
group,B,Switzerland,Qatar,0.9297,0.0558,0.0145,2,4-0,0.122
group,B,Switzerland,Qatar,0.9297,0.0558,0.0145,3,2-0,0.099
group,B,Switzerland,Qatar,0.9297,0.0558,0.0145,4,5-0,0.0938
group,B,Switzerland,Qatar,0.9297,0.0558,0.0145,5,6-0,0.0602
group,B,Switzerland,Bosnia and Herzegovina,0.6841,0.2121,0.1038,1,2-0,0.1326
group,B,Switzerland,Bosnia and Herzegovina,0.6841,0.2121,0.1038,2,1-0,0.1157
group,B,Switzerland,Bosnia and Herzegovina,0.6841,0.2121,0.1038,3,1-1,0.101
group,B,Switzerland,Bosnia and Herzegovina,0.6841,0.2121,0.1038,4,2-1,0.0943
group,B,Switzerland,Bosnia and Herzegovina,0.6841,0.2121,0.1038,5,3-0,0.0926
group,B,Qatar,Bosnia and Herzegovina,0.1128,0.238,0.6492,1,0-2,0.1365
group,B,Qatar,Bosnia and Herzegovina,0.1128,0.238,0.6492,2,0-1,0.1304
group,B,Qatar,Bosnia and Herzegovina,0.1128,0.238,0.6492,3,1-1,0.1118
group,B,Qatar,Bosnia and Herzegovina,0.1128,0.238,0.6492,4,1-2,0.0931
group,B,Qatar,Bosnia and Herzegovina,0.1128,0.238,0.6492,5,0-0,0.0896
group,C,Brazil,Morocco,0.2919,0.3459,0.3622,1,0-0,0.1581
group,C,Brazil,Morocco,0.2919,0.3459,0.3622,2,1-1,0.152
group,C,Brazil,Morocco,0.2919,0.3459,0.3622,3,0-1,0.13
group,C,Brazil,Morocco,0.2919,0.3459,0.3622,4,1-0,0.1113
group,C,Brazil,Morocco,0.2919,0.3459,0.3622,5,0-2,0.0772
group,C,Brazil,Scotland,0.5931,0.2225,0.1844,1,1-1,0.0996
group,C,Brazil,Scotland,0.5931,0.2225,0.1844,2,2-1,0.0969
group,C,Brazil,Scotland,0.5931,0.2225,0.1844,3,2-0,0.0814
group,C,Brazil,Scotland,0.5931,0.2225,0.1844,4,3-1,0.0715
group,C,Brazil,Scotland,0.5931,0.2225,0.1844,5,1-0,0.0616
group,C,Brazil,Haiti,0.87,0.0911,0.0389,1,3-0,0.1002
group,C,Brazil,Haiti,0.87,0.0911,0.0389,2,4-0,0.0889
group,C,Brazil,Haiti,0.87,0.0911,0.0389,3,2-0,0.0847
group,C,Brazil,Haiti,0.87,0.0911,0.0389,4,3-1,0.0762
group,C,Brazil,Haiti,0.87,0.0911,0.0389,5,4-1,0.0676
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,1,1-0,0.1821
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,2,0-0,0.1803
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,3,1-1,0.1351
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,4,2-0,0.1242
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,5,0-1,0.0758
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,1,2-0,0.1867
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,2,1-0,0.1778
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,3,3-0,0.1236
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,4,0-0,0.1047
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,5,1-1,0.0799
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,1,2-0,0.1083
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,2,1-1,0.098
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,3,2-1,0.0975
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,4,1-0,0.0841
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,5,3-0,0.0817
group,D,United States,Paraguay,0.2616,0.2886,0.4498,1,1-1,0.1379
group,D,United States,Paraguay,0.2616,0.2886,0.4498,2,1-2,0.0933
group,D,United States,Paraguay,0.2616,0.2886,0.4498,3,0-0,0.0844
group,D,United States,Paraguay,0.2616,0.2886,0.4498,4,0-1,0.0834
group,D,United States,Paraguay,0.2616,0.2886,0.4498,5,0-2,0.0806
group,D,United States,Australia,0.3155,0.2948,0.3898,1,1-1,0.1408
group,D,United States,Australia,0.3155,0.2948,0.3898,2,1-2,0.0873
group,D,United States,Australia,0.3155,0.2948,0.3898,3,0-0,0.0859
group,D,United States,Australia,0.3155,0.2948,0.3898,4,2-1,0.0775
group,D,United States,Australia,0.3155,0.2948,0.3898,5,0-1,0.077
group,D,United States,Turkey,0.258,0.2411,0.5009,1,1-1,0.1038
group,D,United States,Turkey,0.258,0.2411,0.5009,2,1-2,0.0921
group,D,United States,Turkey,0.258,0.2411,0.5009,3,2-2,0.0667
group,D,United States,Turkey,0.258,0.2411,0.5009,4,2-1,0.0651
group,D,United States,Turkey,0.258,0.2411,0.5009,5,0-2,0.0636
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,1,0-0,0.1923
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,2,1-1,0.1534
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,3,1-0,0.1438
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,4,0-1,0.1159
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,5,2-0,0.0796
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,1,1-1,0.1532
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,2,0-0,0.1259
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,3,0-1,0.1017
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,4,1-0,0.0968
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,5,1-2,0.0764
group,D,Australia,Turkey,0.2761,0.3213,0.4027,1,1-1,0.1503
group,D,Australia,Turkey,0.2761,0.3213,0.4027,2,0-0,0.1233
group,D,Australia,Turkey,0.2761,0.3213,0.4027,3,0-1,0.1127
